location,name,description,hours_op,dresscode,address,neighborhood,phone-number,website,city_id,pricing,open,cuisine type,num stars,num_of_views,close
San Francisco,Pesce e Riso,"Pesce e Riso, a newly opened modern Italian osteria with a Japanese twist in heart of San Francisco's North Beach.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,"1224 Grant Ave, San Francisco, CA 94133",North Beach,(415) 872-9997,,1,2,12,"Japanese, Italian, Seafood",4,23,23
San Francisco,MaMo,"We invite you to discover the only restaurant that offers Brunch & Dinner in San Francisco, featuring Californian cuisine with a Colombian & Venezuelan flair. MAMO's concept is the fusion of the exotic tropical flavors of South America, with the sophisticated taste of California",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,3659 Buchanan St,Marina/Cow Hollow,(415) 658-7150,mamosf.com,1,2,18,"American (New), Colombian, Venezuelan",5,34,22
San Francisco,Farmhouse Kitchen Thai Chuisine,"Not your typical Thai! We are a Thai New Generation restaurant focusing on bringing you adventurous, bold flavors of traditional and non-traditional dishes using the freshest ingredients. Look out for our nightly specials from regional home cooked dishes to market fried grasshoppers. We are consistently voted the ""Best Thai Restaurant"" in San Francisco by Michelin Bib Gourmand 2016 - 2019",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,710 Florida St,Mission,(415) 814-2920,farmhousethai.com,1,2,18,"Thai, Comfort Food",4,456,22
San Francisco,Lolo,"Loló is a family-owned restaurant that offers non-traditional and uniquely inspired Mexican food, utilizing local ingredients. Through the use of color, music and great food, coupled with the vision of one of Mexico's most creative designers, Loló invites people to experience Mexican culture and cuisine, reimagined.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,974 Valencia St.,Mission,(415) 643-5656,lolosf.com,1,3,15,Mexican,4,0,22
San Francisco,Crazy Pepper,"Soul food with SPICE. Energetic, comfortable vibe",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,2366  Florence Street,Dogpatch,(415) 767-2676,,1,2,15,,4,0,22
Phoenix,Niitaka,"Enjoy a wide variety of warayaki dishes with [Bonito Direct from Kochi, Salted and Lightly Straw-Seared] with a condensed savory taste, Shimanto Chicken, Shimanto Pork, and Tosa Japanese Beef. For those who want to taste various dishes, [Course with the Local Dishes from Tosa Shimizu] is a recommendation. This course, including all-you-can-drink, is also ideal for banquets such as girl's parties and farewell parties.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,3332 Hartway Street,Arcadia,(602) 555-0113,,2,3,15,Japanese,4,0,22
Phoenix,Charlotte's ,Famously Fabulous French Toast & Eggs Benny. We also make 85% of our ingredients from scratch in house.,SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,4515 Cook Hill Road,Roosevelt Row,(602) 555-0142,,2,2,12,"American, Comfort Food",4,0,23
Phoenix,Jupiter PentHouse,"Stylish, cozy cafe in a converted house serving beer, wine & a menu of soups, salads & sandwiches.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,1561 Randolph Street,Downtown,(602) 555-0113,,2,2,18,"American, Comfort Food",4,0,22
Phoenix,Ariels Cafe,"Locally sourced, scratch made, organic, vegan cafe. We offer breakfast, lunch and dinner seven days a week.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,451 Five Points,Warehouse District,(602) 555-0142,,2,1,18,"Vegan, American",4,0,22
Phoenix,Rott n Grapes,"Full service restaurant offering lunch, dinner and weekend brunch. Two event spaces for large parties or private events. Speakeasy basement. Weekly events such as trivia, comedy, themed storytelling and local AZ short filmmaker series",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,4041 Snowbird Lane,Willo Historic District,(602) 555-0126,,2,2,15,"American, Comfort Food",4,0,22
New Orleans,Hop Scotch,"House brewed beers, craft cocktails and great food!",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,4240 John Calvin Drive,Lakeview,(504) 376-3726,,3,2,14,Soul Food,4,0,22
New Orleans,That's My Fork,"Mom and Pop homey-feeling diner specializing in Burgers, Barbeque and Umpqua Ice Cream. We will celebrate our 5th Anniversary in August 2012. We are most known for our 1/2 pound or 1 pound Jumbo Burgers.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,673 Yorkshire Circle,Garden District,(504) 524-3557,,3,2,18,Barbeque,2,0,22
New Orleans,10 sides,"Enjoy a rotating selection of 24 local craft beers, red & white wines, and ciders -- and pour your own glass from our innovative, self-serve drink wall. Pair your drinks with our delicious South American Fusion menu, which includes empanadas, ahi tacos and chimichurri wings.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,3434 Farland Street,Algiers,(504) 541-5924,,3,2,18,South American,4,0,22
New Orleans,Belle House Blues,"A great place to enjoy handcrafted ales, wine, spirits and pub fare with family and friends.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,3734 Benedum Drive,CBD/ Downtown,(504) 376-3726,,3,2,15,"American, Comfort Food",4,0,22
