location,name,description,hours_op,dresscode,address,neighborhood,phone-number,website,city_id,pricing,,cuisine type,num stars,num_of_views
San Francisco,Pesce e Riso,"Pesce e Riso, a newly opened modern Italian osteria with a Japanese twist in heart of San Francisco's North Beach.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,"1224 Grant Ave, San Francisco, CA 94133",North Beach,(415) 872-9997,,1,2,,"Japanese, Italian, Seafood",4,23
San Francisco,MaMo,"We invite you to discover the only restaurant that offers Brunch & Dinner in San Francisco, featuring Californian cuisine with a Colombian & Venezuelan flair. MAMO's concept is the fusion of the exotic tropical flavors of South America, with the sophisticated taste of California",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,3659 Buchanan St,Marina/Cow Hollow,(415) 658-7150,mamosf.com,1,2,,"American (New), Colombian, Venezuelan",5,34
San Francisco,Farmhouse Kitchen Thai Chuisine,"Not your typical Thai! We are a Thai New Generation restaurant focusing on bringing you adventurous, bold flavors of traditional and non-traditional dishes using the freshest ingredients. Look out for our nightly specials from regional home cooked dishes to market fried grasshoppers. We are consistently voted the ""Best Thai Restaurant"" in San Francisco by Michelin Bib Gourmand 2016 - 2019",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,710 Florida St,Mission,(415) 814-2920,farmhousethai.com,1,2,,"Thai, Comfort Food",4,456
San Francisco,Lolo,"Loló is a family-owned restaurant that offers non-traditional and uniquely inspired Mexican food, utilizing local ingredients. Through the use of color, music and great food, coupled with the vision of one of Mexico's most creative designers, Loló invites people to experience Mexican culture and cuisine, reimagined.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,974 Valencia St.,Mission,(415) 643-5656,lolosf.com,1,3,,,4,0
San Francisco,Crazy Pepper,"Soul food with SPICE. Energetic, comfortable vibe",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,2366  Florence Street,Dogpatch,(415) 767-2676,,1,2,,,4,0
San Francisco,The Chapel,"Our dinner menu features creative dishes that change seasonally. Our full service bar features local libations and handcrafted cocktails. The Chapel also hosts live music, local and touring musicians and bands, multiple times per week.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,4584 Wexford Way,Inner Sunset,(415) 333-3333,,1,2,,,4,0
San Francisco,Philomenas Tavern,"Established 1985, sportsbar with seating. Neighborhood place with friendly faces and a great beer selection.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,2222 Pyramid Valley Road,Financial District,(415) 362-1082,,1,2,,,4,0
San Francisco,Spork,"Our unique fine diner in Nob Hill specializes in brunch with great local ingredients and elevated techniques. We're excited to offer ""classic"" dishes like sweet tea fried chicken with biscuit and more ""divergent"" tastes like a smoked sablefish bialy. We have a rotating cocktail menu with bloody marys and mimosas along with harder spirits to wet your whistle!","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,4784 Oliverio Drive,Sea Cliff,(415) 292-6684,,1,1,,,4,0
San Francisco,Funky Fries,"Come here to dine, come here to drink, come here to hear good music, come here to dance!","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,4730 Valley ,Forest Hill,(415) 397-6333,,1,2,,,4,0
San Francisco,Alouiscous,"Plant-based, vegetarian, and vegan options abound, as do meals meant for carnivores. International wine selection emphasizes high-quality and surprising finds at fair prices. Craft beer available.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,355 Cherry Ridge Drive,Presidio/ Marina,(415) 767-2676,,1,2,,,4,0
San Francisco,Fish N Chip Factory,Scottish eggs bangers and mash fish and chips scottish music pizza burgers and deserts,MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,1642 Sampson Street,Richmond District,(415) 333-3333,,1,2,,,4,0
San Francisco,Prince Pickles,"Plant-based, vegetarian, and vegan options abound, as do meals meant for carnivores. International wine selection emphasizes high-quality and surprising finds at fair prices. Craft beer available.",SUN-MON: 12:00 PM - 11:30 PM ,Casual,258 Mahlon Street,Filmore,(415) 362-1082,,1,2,,,4,0
San Francisco,Criss Cross Apple Sauce,"Brewery with a restaurant attached. Or restaurant with brewery attached? Relaxed vibe, fun games, and all the cider.",SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,2465 West Fork Drive,SOMA,(415) 292-6684,,1,2,,,4,0
San Francisco,Puff Puff,"Puff Puff brings Latin flair and flavors to Portland dining, in a restored 1890's building that once stabled horses. We're a two-story, casual gathering place with rooftop seating under the stars.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,721 Hudson Street,SOMA,(415) 397-6333,,1,4,,,4,0
San Francisco,Jardiniere,"French food, American attitude in a casual Broad Ripple atmosphere.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,4524 Ben Street,North Beach,(415) 767-2676,,1,5,,,4,0
San Francisco,Cafe de la presse,"At this cafe, you can enjoy authentic French dishes. This restaurant sticks to keeping the authentic French style, one of which is their menu without photos. Instead, the staff explains the details of our dishes. Inside, the cafe is full of openness, thanks to the big windows and a calm atmosphere.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,2880 Black Oak Hollow Road,Cow Hollow,(415) 333-3333,,1,3,,,4,0
San Francisco,Sandy's Surf Shack,"Beachbound? Next time you’re headed to the San Francisco beaches, look for the bright blue hacienda. This is where bougie surf-shack vibes meet the Mexican coast with the Cliff Diver, a casual, colorful new cantina",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,2872 Emerson Road,West Portal,(415) 362-1082,,1,2,,,4,0
San Francisco,Chez Gladines,"We use seasonal, sustainable, local ingredients at their peak.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,2641 Bobcat Drive,Haight-Ashbury/ Panhandle,(415) 292-6684,,1,2,,,4,0
San Francisco,La Folie,"Contemporary French bistro fair, featuring high quality, local ingredients, as well as delicious cocktails, a boutique wine list, a cozy, fun atmosphere and the best happy hour in San Francisco.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM; (visit website for holiday hours),Casual,1335 Coventry Court,Glen Park,(415) 397-6333,r,1,2,,,4,0
San Francisco,Nomu,"Award winning chefs, fresh seafood, floor seating. One of a kind dininng experience in the heart of San Francisco.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed)",Casual,1801 Star Route,Bernal Heights,(415) 767-2676,,1,2,,,4,0
San Francisco,Chin Chin,"Chin Chin specializes in sweet Sicilian sauce over pasta and traditional Italian cooking. For four generations we have been serving antipasto, pizza, lasagna, & spaghetti on this corner for over 90 years. Our pizza dough and sauce are still made from scratch. Pizzas are served on a thin crust. Our meatballs, Italian sausage, tiramisu, roquefort and all sauces are made in house. Our menu offers 3 different seafood options and to add a little spice try the Fettucini with Clam Sauce or the Chicken Drogato. We offer an extensive wine & cocktail list as well as domestic, imports & craft beer. Our staff is friendly and works hard to make our guests' experience both comfortable & enjoyable. Chin Chin is retro to its core. The exterior and interior still have original red & green neon and the walls are lined with celebrities, friends & family.","TUES, WED, THURS: 7:00 AM - 9:00 PM / FRI-SAT: 12:00 PM - 12:00 AM / SUN-MON: (closed); (visit website for holiday hours)",Casual,379 Late Avenue,Potrero,(415) 333-3333,,1,3,,,4,0
San Francisco,Mr. Tortellini,"House made pasta, a recipe for tortellini that can't be matched. If you're craving pasta, this Potrero Hill Italian restaurant is your answer.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,3790 Stout Street,North Beach,(415) 362-1082,,1,2,,,4,0
San Francisco,Louisiana,"Adventurous small plates with a Southern twist. Sixty+ wines by the glass, bourbon, craft beer and cocktails.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,945 Gore Street,Mission District,(415) 292-6684,,1,2,,,4,0
San Francisco,Bird,"Pre-prohibition and craft cocktails, warm comfy atmosphere with European inspired village food and friendly attentive service.",SUN-MON: 12:00 PM - 11:30 PM ,Casual,1683 Alpaca Way,Outer Mission/ Crocker Amazon,(415) 397-6333,,1,2,,,4,0
San Francisco,Meiji,"Enjoy Japanese entertainment in Japantowns historic music hall. You can see action dramas featuring traditional Japanese themes such as Tengu and Zashiki-warashi. Your heart will pound in excitement as the show unfolds in close proximity, with the cast occasionally even coming down to the audience from the stage. The commitment to cuisine shows in the Funemori where you can taste fresh seafood from Toyosu Market and the Seasonal Hot Pot made with specialty homemade broth. A variety of dishes such as Smoked Sliced Duck and Pollack Potato Salad are available",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,2019 Red Maple Drive,Japantown/ Western Edition,(415)767-2676,,1,3,,,4,0
Pheonix,Mr Figaro,"Voted '2017-18 Best Italian Restaurant in Las Vegas"" by Las Vegas Magazine Delicious Restaurant Awards! Arancino, Nevadas premier Italian ristorante, showcases classic Italian dishes with a modern twist using only the finest ingredients imported from Italy. We invite you to discover and experience the culinary creations of Italy through Erik Elliot thoughtfully crafted menu.",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM,Casual,3168 Quincy Street,Central Pheonix,(602) 555-0178,,2,2,,,4,0
Phoenix,Niitaka,"Enjoy a wide variety of warayaki dishes with [Bonito Direct from Kochi, Salted and Lightly Straw-Seared] with a condensed savory taste, Shimanto Chicken, Shimanto Pork, and Tosa Japanese Beef. For those who want to taste various dishes, [Course with the Local Dishes from Tosa Shimizu] is a recommendation. This course, including all-you-can-drink, is also ideal for banquets such as girl's parties and farewell parties.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,3332 Hartway Street,Arcadia,(602) 555-0113,,2,3,,,4,0
Phoenix,Charlotte's ,Famously Fabulous French Toast & Eggs Benny. We also make 85% of our ingredients from scratch in house.,SUN-MON: 12:00 PM - 11:30 PM; (visit website for holiday hours),Casual,4515 Cook Hill Road,Roosevelt Row,(602) 555-0142,,2,2,,,4,0
Phoenix,Jupiter PentHouse,"Stylish, cozy cafe in a converted house serving beer, wine & a menu of soups, salads & sandwiches.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,1561 Randolph Street,Downtown,(602) 555-0113,,2,2,,,4,0
Phoenix,Whyld ass cafe,"Locally sourced, scratch made, organic, vegan cafe. We offer breakfast, lunch and dinner seven days a week.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,451 Five Points,Warehouse District,(602) 555-0142,,2,1,,,4,0
Phoenix,Rott n Grapes,"Full service restaurant offering lunch, dinner and weekend brunch. Two event spaces for large parties or private events. Speakeasy basement. Weekly events such as trivia, comedy, themed storytelling and local AZ short filmmaker series",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,4041 Snowbird Lane,Willo Historic District,(602) 555-0126,,2,2,,,4,0
Phoenix,Lacuna Kava Bar,"Arizona’s first and best kava bar! LACUNA [luh-kyoo-nuh] is defined as a space, gap, or hiatus. If that definition leaves you wondering exactly what Lacuna Kava Bar is, then come and find out for yourself.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,1291 Courtright Street,Agritopia,(602) 555-0178,,2,2,,,4,0
Phoenix,Jobot,"Located in the Arts’ District of Phoenix, AZ, on 3rd Street just off of Roosevelt, Jobot Coffee and Bar is the place to be for great coffee, craft beer, locally grown salads, delicious sandwiches and more! Aside from our delicious food, excellent beer selection and coffee, we also have all day happy hour and specialty craft cocktails for those looking for refreshments on a warm day.",MON-FRI: 2:00 PM - 11:00 PM / SAT-SUN: 9:00 AM - 11:00 PM,Casual,837 Martha Ellen Drive,Coronado,(602) 555-0113,,2,2,,,4,0
New Orleans,Hop Scotch,"House brewed beers, craft cocktails and great food!",MON-TUES: (closed) / WED-THURS: 2:00 PM - 10:00PM; (visit website for holiday hours),Casual,4240 John Calvin Drive,Lakeview,(504) 376-3726,,3,2,,,4,0
New Orleans,That's My Fork,"Mom and Pop homey-feeling diner specializing in Burgers, Barbeque and Umpqua Ice Cream. We will celebrate our 5th Anniversary in August 2012. We are most known for our 1/2 pound or 1 pound Jumbo Burgers.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed),Casual,673 Yorkshire Circle,Garden District,(504) 524-3557,,3,2,,,4,0
New Orleans,10 sides,"Enjoy a rotating selection of 24 local craft beers, red & white wines, and ciders -- and pour your own glass from our innovative, self-serve drink wall. Pair your drinks with our delicious South American Fusion menu, which includes empanadas, ahi tacos and chimichurri wings.",MON-THURS: 5:30 PM - 10:30PM / FRI-SAT: 3:30 PM - 12:00AM / SUN: (closed); (visit website for holiday hours),Casual,3434 Farland Street,Algiers,(504) 541-5924,,3,2,,,4,0
New Orleans,Belle House Blues,"A great place to enjoy handcrafted ales, wine, spirits and pub fare with family and friends.",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM,Casual,3734 Benedum Drive,CBD/ Downtown,(504) 376-3726,,3,2,,,4,0
New Orleans,Kings and Queens Chicken Wings,"We're in the flavor business. It's been our mission to serve the world flavor since we first opened shop in '94, and we're just getting started. Our award winning Chicken wings are always cooked-to-order, handcrafted, sauced, tossed and freshly made",SUN-THURS: 3:00 PM - 10:30 PM / FRI-SAT: 3:00 PM - 11:30 PM; (visit website for holiday hours),Casual,2928 Pinchelone Street,Gentilly,(504) 524-3557,,3,1,,,4,0
